,Gender,Military,Ethnicity
984,Female,N,Hispanic/Latino
985,Female,N,White
986,Female,N,Asian
987,Female,N,Hispanic/Latino
988,Female,N,Hispanic/Latino
989,Female,N,American Indian/Alaska Native
990,Male,N,White
991,Female,N,White
992,Female,N,White
993,Female,N,Hispanic/Latino
994,Male,N,Black or African American
995,Male,Y,White
996,Male,N,Hispanic/Latino
997,Female,N,White
998,Female,N,White
999,Female,N,Asian
1000,Male,N,Black or African American
1001,Male,N,White
1002,Male,N,White
1003,Male,N,White
1004,Male,N,Hispanic/Latino
1005,Female,N,Hispanic/Latino
1006,Female,N,White
1007,Male,N,Not Available
1008,Female,N,White
1009,Male,N,White
1010,Male,N,Hispanic/Latino
1011,Female,N,White
1012,Male,N,White
1013,Female,N,Two or More Races
1014,Male,N,White
1015,Female,N,White
1016,Male,N,White
1017,Female,N,American Indian/Alaska Native
1018,Female,N,Asian
1019,Female,N,White
1020,Female,N,Two or More Races
1021,Female,N,White
1022,Male,N,White
1023,Female,N,White
1024,Female,N,Asian
1025,Female,N,White
1026,Female,N,White
1027,Female,N,Hispanic/Latino
1028,Male,N,Black or African American
1029,Female,N,Asian
1030,Female,N,White
1031,Female,N,Asian
1032,Male,N,Hispanic/Latino
1033,Female,N,White
1034,Female,N,Not Available
1035,Female,N,Hispanic/Latino
1036,Female,N,Black or African American
1037,Female,N,Hispanic/Latino
1038,Female,N,White
1039,Female,N,White
1040,Female,N,Non Resident Alien
1041,Female,N,Black or African American
1042,Female,N,White
1043,Female,N,
1044,Male,N,White
1045,Female,N,Black or African American
1046,Male,N,Hispanic/Latino
1047,Female,N,Black or African American
1048,Male,N,White
1049,Female,N,White
1050,Female,N,White
1051,Male,N,White
1052,Female,N,White
1053,Female,N,Two or More Races
1054,Female,N,White
1055,Female,N,White
1056,Male,N,White
1057,Female,N,White
1058,Female,N,White
1059,Female,N,White
1060,Male,Y,Two or More Races
1061,Female,N,Black or African American
1062,Female,Y,Asian
1063,Female,N,White
1064,Female,N,White
1065,Male,N,White
1066,Male,N,White
1067,Female,N,Hispanic/Latino
1068,Female,N,White
1069,Male,Y,White
1070,Male,Y,White
1071,Male,N,White
1072,Female,Y,White
1073,Female,N,White
1074,Male,N,Black or African American
1075,Female,N,White
1076,Male,N,Hispanic/Latino
1077,Female,N,Black or African American
1078,Female,N,Hispanic/Latino
1079,Female,N,White
1080,Male,N,White
1081,Female,N,White
1082,Female,N,White
1083,Male,Y,White
1084,Male,Y,White
1085,Female,N,White
1086,Male,N,White
1087,Female,N,White
1088,Female,N,Hispanic/Latino
1089,Female,N,White
1090,Male,N,Hispanic/Latino
1091,Male,N,White
1092,Female,N,White
1093,Female,N,White
1094,Male,N,White
1095,Female,N,American Indian/Alaska Native
1096,Female,N,White
1097,Male,N,White
1098,Male,N,White
1099,Male,N,White
1100,Female,N,White
1101,Female,N,White
1102,Female,N,American Indian/Alaska Native
1103,Female,N,White
1104,Female,N,Non Resident Alien
1105,Female,N,Black or African American
1106,Female,Y,White
1107,Male,N,White
1108,Male,N,Hispanic/Latino
1109,Male,Y,Hispanic/Latino
1110,Female,N,White
1111,Male,N,White
1112,Female,N,White
1113,Female,N,White
1114,Female,N,White
1115,Female,N,White
1116,Female,N,White
1117,Female,N,Black or African American
1118,Female,N,White
1119,Female,N,Hispanic/Latino
1120,Female,N,White
1121,Female,N,White
1122,Female,N,White
1123,Female,N,White
1124,Male,Y,White
1125,Female,N,White
1126,Female,N,White
1127,Male,N,Hispanic/Latino
1128,Male,N,White
1129,Female,N,White
1130,Male,N,White
1131,Female,N,White
1132,Male,Y,White
1133,Female,N,Black or African American
1134,Female,N,Hispanic/Latino
1135,Female,N,White
1136,Female,N,White
1137,Female,N,White
1138,Male,N,Non Resident Alien
1139,Female,N,White
1140,Female,N,White
1141,Female,N,Two or More Races
1142,Female,N,White
1143,Female,N,White
1144,Male,N,White
1145,Male,N,Hispanic/Latino
1146,Female,N,Hispanic/Latino
1147,Female,N,Black or African American
1148,Female,N,White
1149,Male,N,White
1150,Female,N,American Indian/Alaska Native
1151,Female,N,White
1152,Female,N,White
1153,Female,N,White
1154,Female,N,White
1155,Female,N,White
1156,Female,N,White
1157,Female,N,Black or African American
1158,Female,N,White
1159,Male,N,Hispanic/Latino
1160,Female,N,Black or African American
1161,Female,N,White
1162,Female,N,Hispanic/Latino
1163,Male,N,Black or African American
1164,Female,N,Hispanic/Latino
1165,Female,N,White
1166,Female,N,Black or African American
1167,Female,N,Hispanic/Latino
1168,Male,N,Hispanic/Latino
1169,Female,N,White
1170,Male,N,Black or African American
1171,Female,Y,White
1172,Male,N,Black or African American
1173,Female,N,White
1174,Female,N,White
1175,Male,N,White
1176,Female,N,White
1177,Male,N,Asian
1178,Male,N,White
1179,Male,Y,Two or More Races
1180,Male,N,White
1181,Male,N,White
1182,Female,N,White
1183,Male,Y,White
1184,Male,N,White
1185,Male,N,White
1186,Female,N,White
1187,Female,N,White
1188,Male,N,White
1189,Female,N,Hispanic/Latino
1190,Female,N,White
1191,Female,N,White
1192,Male,N,White
1193,Male,Y,White
1194,Female,Y,White
1195,Female,N,Asian
1196,Female,N,Hispanic/Latino
1197,Female,N,White
1198,Female,Y,White
1199,Female,N,Hispanic/Latino
1200,Female,N,White
1201,Female,N,Black or African American
1202,Female,N,White
1203,Female,N,White
1204,Female,N,White
1205,Male,N,White
1206,Female,N,Non Resident Alien
1207,Female,N,White
1208,Male,N,White
1209,Female,N,Non Resident Alien
1210,Female,N,White
1211,Female,N,White
1212,Female,N,White
1213,Female,N,White
1214,Female,N,White
